Metadata_Plate	Metadata_Well	cell_count	Metadata_plate_map_name	Metadata_date	Metadata_clone_number	Metadata_celltype_shorthand_from_plate_graph	Metadata_treatment	Metadata_treatment_shorthand_from_plate_graph	Metadata_treatment_time	Metadata_cell_density	Metadata_time_to_adhere
220950	B02	1932	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B03	4902	220950	20210719	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B04	4337	220950	20210719	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B05	2567	220950	20210719	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B06	2932	220950	20210719	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B07	2401	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B08	4271	220950	20210719	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B09	3920	220950	20210719	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B10	2652	220950	20210719	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	B11	4673	220950	20210719	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C02	2146	220950	20210719	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C03	9487	220950	20210719	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C04	4372	220950	20210719	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C05	2299	220950	20210719	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C06	4281	220950	20210719	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C07	2465	220950	20210719	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C08	8116	220950	20210719	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C09	4187	220950	20210719	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C10	3213	220950	20210719	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	C11	6009	220950	20210719	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D02	2633	220950	20210719	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D03	1021	220950	20210719	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D04	3611	220950	20210719	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D05	4762	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D06	4681	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D07	2854	220950	20210719	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D08	1573	220950	20210719	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D09	4555	220950	20210719	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D10	5285	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	D11	5456	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E02	3167	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E03	5604	220950	20210719	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E04	4856	220950	20210719	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E05	4012	220950	20210719	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E06	4123	220950	20210719	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E07	2684	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E08	3360	220950	20210719	Clone A	2	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E09	4543	220950	20210719	Clone E 	3	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E10	2168	220950	20210719	WT clone 10	4	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	E11	3073	220950	20210719	WT clone 12	5	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F02	2683	220950	20210719	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F03	9107	220950	20210719	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F04	4464	220950	20210719	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F05	1893	220950	20210719	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F06	4578	220950	20210719	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F07	2460	220950	20210719	BZ007	10	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F08	9061	220950	20210719	BZ006	9	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F09	4223	220950	20210719	WT clone 15	8	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F10	3161	220950	20210719	WT clone 14	7	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	F11	6163	220950	20210719	WT clone 13	6	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G02	2856	220950	20210719	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G03	1439	220950	20210719	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G04	3424	220950	20210719	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G05	4474	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G06	5033	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G07	3077	220950	20210719	BZ008	11	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G08	1202	220950	20210719	BZ009	12	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G09	4166	220950	20210719	BZ010	13	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G10	4281	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
220950	G11	5774	220950	20210719	WT parental	1	0.1% DMSO	1	13 hr	2.5x10^3 cells/well	48 hr
