column_match_pair_a,Metadata_clone_number_pair_a,Metadata_treatment_pair_a,row_match,pairwise_correlation,column_match_pair_b,Metadata_clone_number_pair_b,Metadata_treatment_pair_b
1,WT002,DMSO,0,0.30655473406709893,0,BZ017,DMSO
2,WT008,DMSO,0,-0.006435427778911687,0,BZ017,DMSO
3,WT009,DMSO,0,0.1604257424497994,0,BZ017,DMSO
4,BZ018,DMSO,0,0.2819122656113627,0,BZ017,DMSO
5,WT011,DMSO,0,0.36504126617994326,0,BZ017,DMSO
6,BZ001,DMSO,0,0.4360811459402027,0,BZ017,DMSO
7,BZ008,DMSO,0,0.22474801129175723,0,BZ017,DMSO
8,WT_parental,DMSO,0,0.09981559765468627,0,BZ017,DMSO
9,WT_parental,DMSO,0,0.16204099747758122,0,BZ017,DMSO
10,BZ017,DMSO,0,0.549036436037736,0,BZ017,DMSO
11,BZ008,DMSO,0,0.5044450655185145,0,BZ017,DMSO
12,BZ001,DMSO,0,0.24868186358394767,0,BZ017,DMSO
13,WT011,DMSO,0,0.15161183526800637,0,BZ017,DMSO
14,BZ018,DMSO,0,0.1596755315739593,0,BZ017,DMSO
15,WT009,DMSO,0,0.37829829896175377,0,BZ017,DMSO
16,WT008,DMSO,0,-0.1358458167037626,0,BZ017,DMSO
17,WT002,DMSO,0,-0.004508741390424726,0,BZ017,DMSO
18,WT_parental,DMSO,0,-0.34381234773167413,0,BZ017,DMSO
19,WT_parental,DMSO,0,-0.009443203906488715,0,BZ017,DMSO
20,BZ017,DMSO,0,0.5298511114303688,0,BZ017,DMSO
21,WT002,DMSO,0,0.35739287106119444,0,BZ017,DMSO
22,WT008,DMSO,0,0.01993751897497245,0,BZ017,DMSO
23,WT009,DMSO,0,0.39307753862544625,0,BZ017,DMSO
24,BZ018,DMSO,0,0.18811693294900345,0,BZ017,DMSO
25,WT011,DMSO,0,0.10767712159345201,0,BZ017,DMSO
26,BZ001,DMSO,0,0.12154878991564089,0,BZ017,DMSO
27,BZ008,DMSO,0,0.03453434522164828,0,BZ017,DMSO
28,WT_parental,DMSO,0,-0.24260262460966495,0,BZ017,DMSO
29,WT_parental,DMSO,0,-0.014895630442401941,0,BZ017,DMSO
30,WT_parental,DMSO,0,0.5493831580322316,0,BZ017,DMSO
31,BZ017,bortezomib,0,-0.031591322833447205,0,BZ017,DMSO
32,WT002,bortezomib,0,0.07881010230291677,0,BZ017,DMSO
33,WT008,bortezomib,0,-0.49884884216577047,0,BZ017,DMSO
34,WT009,bortezomib,0,-0.36700555924959205,0,BZ017,DMSO
35,BZ018,bortezomib,0,-0.315688033303444,0,BZ017,DMSO
