features	dataset
Cells_AreaShape_Compactness	bortezomib
Cells_AreaShape_Eccentricity	bortezomib
Cells_AreaShape_Extent	bortezomib
Cells_AreaShape_FormFactor	bortezomib
Cells_AreaShape_MeanRadius	bortezomib
Cells_AreaShape_MedianRadius	bortezomib
Cells_AreaShape_Orientation	bortezomib
Cells_AreaShape_Solidity	bortezomib
Cells_AreaShape_Zernike_0_0	bortezomib
Cells_AreaShape_Zernike_1_1	bortezomib
Cells_AreaShape_Zernike_2_0	bortezomib
Cells_AreaShape_Zernike_2_2	bortezomib
Cells_AreaShape_Zernike_3_1	bortezomib
Cells_AreaShape_Zernike_3_3	bortezomib
Cells_AreaShape_Zernike_4_0	bortezomib
Cells_AreaShape_Zernike_4_2	bortezomib
Cells_AreaShape_Zernike_4_4	bortezomib
Cells_AreaShape_Zernike_5_1	bortezomib
Cells_AreaShape_Zernike_5_3	bortezomib
Cells_AreaShape_Zernike_5_5	bortezomib
Cells_AreaShape_Zernike_6_0	bortezomib
Cells_AreaShape_Zernike_6_2	bortezomib
Cells_AreaShape_Zernike_6_4	bortezomib
Cells_AreaShape_Zernike_6_6	bortezomib
Cells_AreaShape_Zernike_7_1	bortezomib
Cells_AreaShape_Zernike_7_3	bortezomib
Cells_AreaShape_Zernike_7_5	bortezomib
Cells_AreaShape_Zernike_7_7	bortezomib
Cells_AreaShape_Zernike_8_0	bortezomib
Cells_AreaShape_Zernike_8_2	bortezomib
Cells_AreaShape_Zernike_8_4	bortezomib
Cells_AreaShape_Zernike_8_6	bortezomib
Cells_AreaShape_Zernike_8_8	bortezomib
Cells_AreaShape_Zernike_9_1	bortezomib
Cells_AreaShape_Zernike_9_3	bortezomib
Cells_AreaShape_Zernike_9_5	bortezomib
Cells_AreaShape_Zernike_9_7	bortezomib
Cells_AreaShape_Zernike_9_9	bortezomib
Cells_Correlation_Correlation_DNA_AGP	bortezomib
Cells_Correlation_Correlation_DNA_ER	bortezomib
Cells_Correlation_Correlation_DNA_Mito	bortezomib
Cells_Correlation_Correlation_DNA_RNA	bortezomib
Cells_Correlation_Correlation_ER_AGP	bortezomib
Cells_Correlation_Correlation_ER_RNA	bortezomib
Cells_Correlation_Correlation_Mito_AGP	bortezomib
Cells_Correlation_Correlation_Mito_ER	bortezomib
Cells_Correlation_Correlation_Mito_RNA	bortezomib
Cells_Correlation_Correlation_RNA_AGP	bortezomib
Cells_Correlation_Costes_DNA_Mito	bortezomib
Cells_Correlation_K_AGP_DNA	bortezomib
Cells_Correlation_K_AGP_ER	bortezomib
Cells_Correlation_K_DNA_AGP	bortezomib
Cells_Correlation_K_DNA_ER	bortezomib
Cells_Correlation_K_DNA_Mito	bortezomib
Cells_Correlation_K_DNA_RNA	bortezomib
Cells_Correlation_K_ER_AGP	bortezomib
